"id","regency_id","name","created_at","updated_at"
"1","1","Arongan Lambalek",NULL,NULL
"2","1","Bubon",NULL,NULL
"3","1","Johan Pahlawan",NULL,NULL
"4","1","Kaway XVI",NULL,NULL
"5","1","Meureubo",NULL,NULL
"6","1","Pante Ceureumen (Pantai Ceuremen)",NULL,NULL
"7","1","Panton Reu",NULL,NULL
"8","1","Samatiga",NULL,NULL
"9","1","Sungai Mas",NULL,NULL
"10","1","Woyla",NULL,NULL
"11","1","Woyla Barat",NULL,NULL
"12","1","Woyla Timur",NULL,NULL
"13","2","Babah Rot",NULL,NULL
"14","2","Blang Pidie",NULL,NULL
"15","2","Jeumpa",NULL,NULL
"16","2","Kuala Batee",NULL,NULL
"17","2","Lembah Sabil",NULL,NULL
"18","2","Manggeng",NULL,NULL
"19","2","Setia",NULL,NULL
"20","2","Susoh",NULL,NULL
"21","2","Tangan-Tangan",NULL,NULL
"22","3","Baitussalam",NULL,NULL
"23","3","Blank Bintang",NULL,NULL
"24","3","Darul Imarah",NULL,NULL
"25","3","Darul Kamal",NULL,NULL
"26","3","Darussalam",NULL,NULL
"27","3","Indrapuri",NULL,NULL
"28","3","Ingin Jaya",NULL,NULL
"29","3","Kota Cot Glie (Kuta Cot Glie)",NULL,NULL
"30","3","Kota Jantho",NULL,NULL
"31","3","Kota Malaka (Kuta Malaka)",NULL,NULL
"32","3","Krueng Barona Jaya",NULL,NULL
"33","3","Kuta Baro",NULL,NULL
"34","3","Lembah Seulawah",NULL,NULL
"35","3","Leupung",NULL,NULL
"36","3","Lhoknga (Lho'nga)",NULL,NULL
"37","3","Lhoong",NULL,NULL
"38","3","Mantasiek (Montasik)",NULL,NULL
"39","3","Mesjid Raya",NULL,NULL
"40","3","Peukan Bada",NULL,NULL
"41","3","Pulo Aceh",NULL,NULL
"42","3","Seulimeum",NULL,NULL
"43","3","Simpang Tiga",NULL,NULL
"44","3","Suka Makmur",NULL,NULL
"45","4","Darul Hikmah",NULL,NULL
"46","4","Indra Jaya",NULL,NULL
"47","4","Jaya",NULL,NULL
"48","4","Keude Panga",NULL,NULL
"49","4","Krueng Sabee",NULL,NULL
"50","4","Pasie Raya",NULL,NULL
"51","4","Sampoiniet",NULL,NULL
"52","4","Setia Bakti",NULL,NULL
"53","4","Teunom",NULL,NULL
"54","5","Bakongan",NULL,NULL
"55","5","Bakongan Timur",NULL,NULL
"56","5","Kluet Selatan",NULL,NULL
"57","5","Kluet Tengah",NULL,NULL
"58","5","Kluet Timur",NULL,NULL
"59","5","Kluet Utara",NULL,NULL
"60","5","Kota Bahagia",NULL,NULL
"61","5","Labuhan Haji",NULL,NULL
"62","5","Labuhan Haji Barat",NULL,NULL
"63","5","Labuhan Haji Timur",NULL,NULL
"64","5","Meukek",NULL,NULL
"65","5","Pasie Raja",NULL,NULL
"66","5","Sama Dua",NULL,NULL
"67","5","Sawang",NULL,NULL
"68","5","Tapak Tuan",NULL,NULL
"69","5","Trumon",NULL,NULL
"70","5","Trumon Tengah",NULL,NULL
"71","5","Trumon Timur",NULL,NULL
"72","6","Danau Paris",NULL,NULL
"73","6","Gunung Meriah (Mariah)",NULL,NULL
"74","6","Kota Baharu",NULL,NULL
"75","6","Kuala Baru",NULL,NULL
"76","6","Pulau Banyak",NULL,NULL
"77","6","Pulau Banyak Barat",NULL,NULL
"78","6","Simpang Kanan",NULL,NULL
"79","6","Singkil",NULL,NULL
"80","6","Singkil Utara",NULL,NULL
"81","6","Singkohor",NULL,NULL
"82","6","Suro Makmur",NULL,NULL
"83","7","Banda Mulia",NULL,NULL
"84","7","Bandar Pusaka",NULL,NULL
"85","7","Bendahara",NULL,NULL
"86","7","Karang Baru",NULL,NULL
"87","7","Kejuruan Muda",NULL,NULL
"88","7","Kota Kuala Simpang",NULL,NULL
"89","7","Manyak Payed",NULL,NULL
"90","7","Rantau",NULL,NULL
"91","7","Sekerak",NULL,NULL
