"id","province_id","name","created_at","updated_at"
"1","21","Aceh Barat",NULL,NULL
"2","21","Aceh Barat Daya",NULL,NULL
"3","21","Aceh Besar",NULL,NULL
"4","21","Aceh Jaya",NULL,NULL
"5","21","Aceh Selatan",NULL,NULL
"6","21","Aceh Singkil",NULL,NULL
"7","21","Aceh Tamiang",NULL,NULL
"8","21","Aceh Tengah",NULL,NULL
"9","21","Aceh Tenggara",NULL,NULL
"10","21","Aceh Timur",NULL,NULL
"11","21","Aceh Utara",NULL,NULL
"12","32","Agam",NULL,NULL
"13","23","Alor",NULL,NULL
"14","19","Ambon",NULL,NULL
"15","34","Asahan",NULL,NULL
"16","24","Asmat",NULL,NULL
"17","1","Badung",NULL,NULL
"18","13","Balangan",NULL,NULL
"19","15","Balikpapan",NULL,NULL
"20","21","Banda Aceh",NULL,NULL
"21","18","Bandar Lampung",NULL,NULL
"22","9","Bandung",NULL,NULL
"23","9","Bandung",NULL,NULL
"24","9","Bandung Barat",NULL,NULL
"25","29","Banggai",NULL,NULL
"26","29","Banggai Kepulauan",NULL,NULL
"27","2","Bangka",NULL,NULL
"28","2","Bangka Barat",NULL,NULL
"29","2","Bangka Selatan",NULL,NULL
"30","2","Bangka Tengah",NULL,NULL
"31","11","Bangkalan",NULL,NULL
"32","1","Bangli",NULL,NULL
"33","13","Banjar",NULL,NULL
"34","9","Banjar",NULL,NULL
"35","13","Banjarbaru",NULL,NULL
"36","13","Banjarmasin",NULL,NULL
"37","10","Banjarnegara",NULL,NULL
"38","28","Bantaeng",NULL,NULL
"39","5","Bantul",NULL,NULL
"40","33","Banyuasin",NULL,NULL
"41","10","Banyumas",NULL,NULL
"42","11","Banyuwangi",NULL,NULL
"43","13","Barito Kuala",NULL,NULL
"44","14","Barito Selatan",NULL,NULL
"45","14","Barito Timur",NULL,NULL
"46","14","Barito Utara",NULL,NULL
"47","28","Barru",NULL,NULL
"48","17","Batam",NULL,NULL
"49","10","Batang",NULL,NULL
"50","8","Batang Hari",NULL,NULL
"51","11","Batu",NULL,NULL
"52","34","Batu Bara",NULL,NULL
"53","30","Bau-Bau",NULL,NULL
"54","9","Bekasi",NULL,NULL
"55","9","Bekasi",NULL,NULL
"56","2","Belitung",NULL,NULL
"57","2","Belitung Timur",NULL,NULL
"58","23","Belu",NULL,NULL
"59","21","Bener Meriah",NULL,NULL
"60","26","Bengkalis",NULL,NULL
"61","12","Bengkayang",NULL,NULL
"62","4","Bengkulu",NULL,NULL
"63","4","Bengkulu Selatan",NULL,NULL
"64","4","Bengkulu Tengah",NULL,NULL
"65","4","Bengkulu Utara",NULL,NULL
"66","15","Berau",NULL,NULL
"67","24","Biak Numfor",NULL,NULL
"68","22","Bima",NULL,NULL
"69","22","Bima",NULL,NULL
"70","34","Binjai",NULL,NULL
"71","17","Bintan",NULL,NULL
"72","21","Bireuen",NULL,NULL
"73","31","Bitung",NULL,NULL
"74","11","Blitar",NULL,NULL
"75","11","Blitar",NULL,NULL
"76","10","Blora",NULL,NULL
"77","7","Boalemo",NULL,NULL
"78","9","Bogor",NULL,NULL
"79","9","Bogor",NULL,NULL
"80","11","Bojonegoro",NULL,NULL
"81","31","Bolaang Mongondow (Bolmong)",NULL,NULL
"82","31","Bolaang Mongondow Selatan",NULL,NULL
"83","31","Bolaang Mongondow Timur",NULL,NULL
"84","31","Bolaang Mongondow Utara",NULL,NULL
"85","30","Bombana",NULL,NULL
"86","11","Bondowoso",NULL,NULL
"87","28","Bone",NULL,NULL
"88","7","Bone Bolango",NULL,NULL
"89","15","Bontang",NULL,NULL
"90","24","Boven Digoel",NULL,NULL
"91","10","Boyolali",NULL,NULL
"92","10","Brebes",NULL,NULL
"93","32","Bukittinggi",NULL,NULL
"94","1","Buleleng",NULL,NULL
"95","28","Bulukumba",NULL,NULL
"96","16","Bulungan (Bulongan)",NULL,NULL
"97","8","Bungo",NULL,NULL
"98","29","Buol",NULL,NULL
"99","19","Buru",NULL,NULL
"100","19","Buru Selatan",NULL,NULL
"101","30","Buton",NULL,NULL
"102","30","Buton Utara",NULL,NULL
"103","9","Ciamis",NULL,NULL
"104","9","Cianjur",NULL,NULL
"105","10","Cilacap",NULL,NULL
"106","3","Cilegon",NULL,NULL
"107","9","Cimahi",NULL,NULL
"108","9","Cirebon",NULL,NULL
"109","9","Cirebon",NULL,NULL
"110","34","Dairi",NULL,NULL
"111","24","Deiyai (Deliyai)",NULL,NULL
"112","34","Deli Serdang",NULL,NULL
"113","10","Demak",NULL,NULL
"114","1","Denpasar",NULL,NULL
"115","9","Depok",NULL,NULL
"116","32","Dharmasraya",NULL,NULL
"117","24","Dogiyai",NULL,NULL
"118","22","Dompu",NULL,NULL
"119","29","Donggala",NULL,NULL
"120","26","Dumai",NULL,NULL
"121","33","Empat Lawang",NULL,NULL
"122","23","Ende",NULL,NULL
"123","28","Enrekang",NULL,NULL
"124","25","Fakfak",NULL,NULL
"125","23","Flores Timur",NULL,NULL
"126","9","Garut",NULL,NULL
"127","21","Gayo Lues",NULL,NULL
"128","1","Gianyar",NULL,NULL
"129","7","Gorontalo",NULL,NULL
"130","7","Gorontalo",NULL,NULL
"131","7","Gorontalo Utara",NULL,NULL
"132","28","Gowa",NULL,NULL
"133","11","Gresik",NULL,NULL
"134","10","Grobogan",NULL,NULL
"135","5","Gunung Kidul",NULL,NULL
"136","14","Gunung Mas",NULL,NULL
